;;;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year;Year
Nova Scotia;August;a;62;10;18;43;23;36;20;59;61;24;29;129;55;16;15;41;10;19;2;14;;7;26;17;10;8;38;15;17;34;43;2;10;
Nova Scotia;September;a;36;;19;26;22;37;7;16;8;14;18;47;18;13;8;22;12;2;3;7;;2;9;2;8;18;22;7;22;9;5;1;30;
Nova Scotia;October;a;9;1;13;4;22;4;3;30;16;3;8;28;;8;4;2;1;3;2;;;;;;5;;4;5;;2;4;;2;
Nova Scotia;November;a;1;;;;14;2;;;;7;1;8;1;;1;;;1;1;;5;;;;;;;1;;;;;;
Nova Scotia;Unspecified;a;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;
Nova Scotia;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220
Ontario;January;a;;;;;;;;;;;;1;;28;;;1;;;1;;;1;;;;;;;;;;;
Ontario;February;a;;;;;;;;;;1;1;;;25;;;;2;;;;;;;;;;1;;;;;;
Ontario;March;a;62;12;2;1;4;137;7;;11;6;17;1;1;37;;;3;15;;;34;;16;;1;2;5;4;5;2;2;15;2;
Ontario;April;a;185;210;58;112;222;128;30;136;207;146;99;52;26;95;34;86;83;105;29;24;199;30;136;19;5;64;38;23;18;19;22;29;5;
Ontario;May;a;242;231;347;171;266;230;241;180;463;234;88;115;105;121;64;159;150;235;79;110;334;145;276;140;54;126;176;46;191;58;86;116;72;
Ontario;June;a;111;415;380;129;412;900;570;425;254;154;44;267;85;288;79;194;273;92;34;140;83;129;125;122;73;132;141;40;245;103;70;332;32;
Ontario;July;a;237;586;60;158;59;150;198;371;710;217;117;373;536;133;101;602;597;201;35;42;166;398;710;168;86;165;147;230;524;152;303;572;63;
Ontario;August;a;543;944;94;144;55;442;144;423;477;196;156;666;212;204;99;708;503;423;132;20;80;401;181;105;77;116;113;369;300;193;115;123;63;
Ontario;September;a;185;138;8;11;27;125;73;90;127;64;38;109;188;31;40;212;660;49;23;46;12;171;175;20;7;55;22;38;55;10;13;16;28;
Ontario;October;a;31;11;11;10;27;36;11;18;32;4;83;10;8;18;18;14;19;5;9;6;23;58;13;8;6;14;11;30;;4;3;3;9;
Ontario;November;a;16;12;;4;7;2;;1;8;3;7;2;1;23;;3;2;1;1;;2;4;2;;;;4;;;;;;7;
Ontario;December;a;;1;;2;;;;;2;;;;;40;;;;;;;;3;;;;1;;;1;;;;;
Ontario;Unspecified;a;;;;;;;1;2;;;3;;1;;;;1;1;2;2;;1;;;;;;;;;;;;
Ontario;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;743
Parks Canada;Unspecified;e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117
Prince Edward Island;January;a;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;;
Prince Edward Island;February;a;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;0;0;0;0;0;;;0;0;;;;;;
Prince Edward Island;March;a;0;2;0;0;0;0;0;;;1;;0;0;0;0;0;9;0;0;0;0;0;0;0;;;0;0;;;;;;
