Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollMean_6,RollMean_12,RollStd_3,RollStd_6,RollStd_12,RollSum_3,RollSum_6,RollSum_12,Month_sin,Month_cos,Jurisdiction_raw,REG_Alberta,REG_British Columbia,REG_Manitoba,REG_New Brunswick,REG_Newfoundland and Labrador,REG_Northwest Territories,REG_Nova Scotia,REG_Ontario,REG_Prince Edward Island,REG_Quebec,REG_Saskatchewan,REG_Yukon,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,et0_fao_evapotranspiration (mm)_lag1
10,2010,3,27,115,211,117.66666666666667,97.5,,92.02898094259945,62.934092509545266,,353.0,585.0,,-0.8660254037844386,0.5000000000000001,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,5.361290322580646,8.956989247311828,77.3978494623656,59.53763440860215,1.1723655913978497,9.02111111111111,77.76666666666667,1.588111111111111
11,2010,1,3,27,115,48.333333333333336,82.83333333333333,,58.968918366655934,74.02814779978402,,145.0,497.0,,-0.5000000000000004,0.8660254037844384,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,-6.092222222222222,-3.121111111111111,81.08888888888889,69.4,0.3677777777777777,5.361290322580646,77.3978494623656,1.1723655913978497
4,2011,6,,,,,,,,,,,,,0.8660254037844387,-0.4999999999999998,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,0.2388888888888888,5.912222222222223,68.74444444444445,46.91111111111111,1.9057777777777776,-12.129032258064516,71.66666666666666,0.7744086021505376
5,2011,39,6,,,,,,,,,,,,0.49999999999999994,-0.8660254037844387,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,8.218279569892472,14.58279569892473,63.354838709677416,40.3010752688172,3.1836559139784946,0.2388888888888888,68.74444444444445,1.9057777777777776
6,2011,38,39,6,,,,,,,,,,,1.2246467991473532e-16,-1.0,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,15.256666666666666,20.766666666666666,65.32222222222222,40.922222222222224,3.805333333333333,8.218279569892472,63.354838709677416,3.1836559139784946
7,2011,106,38,39,6,27.666666666666668,,,18.77054430040145,,,83.0,,,-0.4999999999999997,-0.8660254037844388,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,19.08279569892473,24.05161290322581,70.49462365591398,45.44086021505377,3.966666666666667,15.256666666666666,65.32222222222222,3.805333333333333
8,2011,82,106,38,39,61.0,,,38.97435053981015,,,183.0,,,-0.8660254037844385,-0.5000000000000004,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,18.024731182795698,23.01505376344086,71.65591397849462,45.763440860215056,3.3380645161290325,19.08279569892473,70.49462365591398,3.966666666666667
9,2011,19,82,106,38,75.33333333333333,,,34.486712417006835,,,226.0,,,-1.0,-1.8369701987210297e-16,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,13.454444444444444,18.76888888888889,69.94444444444444,46.35555555555556,2.539555555555556,18.024731182795698,71.65591397849462,3.3380645161290325
10,2011,27,19,82,106,69.0,48.333333333333336,,44.93328387732194,38.22390177188442,,207.0,290.0,,-0.8660254037844386,0.5000000000000001,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,5.570967741935483,8.856989247311828,80.02150537634408,61.98924731182796,1.055483870967742,13.454444444444444,69.94444444444444,2.539555555555556
11,2011,6,27,19,82,42.666666666666664,51.833333333333336,,34.29771615331454,34.33608403220537,,128.0,311.0,,-0.5000000000000004,0.8660254037844384,Manitoba,0,0,1,0,0,0,0,0,0,0,0,0,-5.6,-2.6744444444444446,80.93333333333334,68.02222222222223,0.3695555555555555,5.570967741935483,80.02150537634408,1.055483870967742
