temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),Year,Month,Jurisdiction_raw
19.40967741935484,23.71935483870968,76.0,53.774193548387096,3.551612903225806,4.483870967741935,11.753763440860215,17.212903225806453,221.80645161290323,3.9335483870967742,1995,7,New Brunswick
18.010752688172044,22.852688172043013,68.08602150537634,46.31182795698925,1.8881720430107527,2.4086021505376345,13.334408602150535,18.306451612903224,217.96774193548387,3.968494623655914,1995,8,New Brunswick
12.137777777777778,16.824444444444445,69.12222222222222,47.45555555555556,2.536666666666667,2.2555555555555555,13.72888888888889,19.66,240.27777777777777,2.769555555555556,1995,9,New Brunswick
9.159139784946236,12.596774193548388,78.82795698924731,62.13978494623656,3.420430107526882,3.752688172043011,14.186021505376344,20.53333333333333,208.3978494623656,1.335483870967742,1995,10,New Brunswick
-0.6533333333333334,2.612222222222222,75.18888888888888,58.477777777777774,4.043333333333334,4.122222222222223,14.3,20.34111111111111,199.62222222222223,0.706,1995,11,New Brunswick
-8.80215053763441,-5.153763440860216,80.18279569892472,67.94623655913979,3.4139784946236555,5.645161290322581,15.891397849462363,21.618279569892472,233.97849462365596,0.3470967741935484,1995,12,New Brunswick
-11.105376344086022,-6.417204301075269,73.80645161290323,58.5268817204301,2.5365591397849463,3.881720430107527,16.225806451612904,23.5505376344086,241.31182795698925,0.4073118279569893,1996,1,New Brunswick
-9.352873563218392,-5.265517241379311,75.85057471264368,59.781609195402304,3.024137931034483,6.126436781609195,13.554022988505746,18.231034482758623,225.80459770114945,0.5367816091954023,1996,2,New Brunswick
-5.670967741935483,-0.6193548387096774,71.29032258064517,53.80645161290322,3.1817204301075277,4.795698924731183,14.882795698924731,20.63010752688172,224.6451612903226,1.190752688172043,1996,3,New Brunswick
2.052222222222222,6.235555555555555,79.25555555555555,61.1,4.425555555555556,7.455555555555555,14.428888888888888,20.49222222222222,166.34444444444443,1.627222222222222,1996,4,New Brunswick
7.205376344086022,11.717204301075268,73.52688172043011,52.66666666666667,3.443010752688172,7.344086021505376,12.655913978494622,18.38817204301075,198.08602150537635,2.584838709677419,1996,5,New Brunswick
15.483333333333333,20.546666666666667,73.53333333333333,50.65555555555556,2.475555555555556,4.211111111111111,12.55,17.725555555555555,213.11111111111111,3.9218888888888888,1996,6,New Brunswick
17.156989247311827,20.93978494623656,82.05376344086021,63.44086021505377,5.789247311827957,7.612903225806452,12.83548387096774,18.04301075268817,196.2258064516129,3.025161290322581,1996,7,New Brunswick
17.923655913978493,22.25376344086021,75.82795698924731,54.795698924731184,1.2999999999999998,2.946236559139785,10.433333333333334,14.866666666666667,235.86021505376343,3.519354838709677,1996,8,New Brunswick
12.908888888888889,16.43111111111111,76.15555555555555,57.55555555555556,3.0277777777777777,5.288888888888889,13.877777777777776,19.64,177.4,2.1904444444444446,1996,9,New Brunswick
5.427956989247312,9.1,77.53763440860214,61.473118279569896,3.2236559139784946,5.376344086021505,14.961290322580645,20.503225806451614,227.68817204301075,1.3272043010752688,1996,10,New Brunswick
-1.082222222222222,1.8677777777777775,76.53333333333333,62.52222222222223,3.295555555555556,5.366666666666666,14.136666666666668,18.945555555555558,223.66666666666663,0.6987777777777778,1996,11,New Brunswick
-3.140860215053764,0.246236559139785,79.6774193548387,67.3763440860215,4.227956989247312,6.623655913978494,15.327956989247312,21.61397849462365,200.2043010752688,0.4325806451612903,1996,12,New Brunswick
-11.52043010752688,-5.687096774193549,73.12903225806451,59.11827956989247,3.0473118279569893,4.129032258064516,16.773118279569893,23.886021505376345,246.7311827956989,0.4144086021505376,1997,1,New Brunswick
-10.54404761904762,-5.41547619047619,74.55952380952381,56.60714285714285,3.4035714285714285,5.059523809523809,13.26904761904762,18.08095238095238,216.97619047619045,0.5663095238095238,1997,2,New Brunswick
-7.005376344086021,-2.619354838709677,71.6021505376344,53.215053763440864,2.79247311827957,4.064516129032258,15.191397849462366,21.848387096774196,227.48387096774192,0.9905376344086022,1997,3,New Brunswick
