Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollStd_3,RollSum_3,is_summer,Month_sin,Month_cos,Jurisdiction_raw,REG_Alberta,REG_British Columbia,REG_Manitoba,REG_New Brunswick,REG_Newfoundland and Labrador,REG_Northwest Territories,REG_Nova Scotia,REG_Ontario,REG_Prince Edward Island,REG_Quebec,REG_Saskatchewan,REG_Yukon,temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,temperature_2m_max (°C)_lag1,relative_humidity_2m_min (%)_lag1,et0_fao_evapotranspiration (mm)_lag1,summer_temp,summer_dryness,summer_lag,pre_summer_heat,spring_dryness
10,2017,64,115,306,622,347.6666666666667,256.05533256179865,1043.0,0,-0.8660254037844386,0.5000000000000001,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,13.87111111111111,64.15555555555555,20.284444444444443,36.55555555555556,2.5204444444444443,0.0,0.0,0,73.87197132616485,13.4897670250896
11,2017,4,64,115,306,161.66666666666666,127.57089532230066,485.0,0,-0.5000000000000004,0.8660254037844384,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,5.287096774193548,71.20430107526882,10.174193548387096,48.01075268817204,1.1829032258064516,0.0,0.0,0,72.35863799283152,11.644100358422936
1,2018,1,,4,64,,,,0,0.49999999999999994,0.8660254037844387,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-6.467741935483871,75.72043010752688,-2.892473118279569,60.98924731182795,0.3244086021505376,-0.0,0.0,,30.678637992831522,4.136347670250893
3,2018,14,,1,,,,,0,1.0,6.123233995736766e-17,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-8.916666666666666,72.27380952380952,-3.936904761904762,52.45238095238096,0.5652380952380952,-0.0,0.0,,-4.826236559139803,1.0736451612903197
4,2018,51,14,,1,,,,0,0.8660254037844387,-0.4999999999999998,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-2.231182795698925,71.41935483870968,3.4838709677419355,47.494623655913976,1.2255913978494624,0.0,0.0,0,-8.983141321044563,1.205883256528415
5,2018,178,51,14,,,,,0,0.49999999999999994,-0.8660254037844387,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,3.0744444444444445,66.44444444444444,9.557777777777778,40.477777777777774,2.224333333333333,0.0,0.0,0,-2.6067972350230595,2.10706605222734
6,2018,327,178,51,14,81.0,86.01744009211207,243.0,1,1.2246467991473532e-16,-1.0,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,14.131182795698924,54.39784946236559,21.28817204301076,30.46236559139785,4.2864516129032255,21.28817204301076,0.13624060150375938,178,9.104743983614934,4.015162826420888
7,2018,684,327,178,51,185.33333333333334,138.14605797247123,556.0,1,-0.4999999999999997,-0.8660254037844388,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,14.52888888888889,61.266666666666666,20.74888888888889,33.98888888888889,3.925,20.74888888888889,0.1121784693553509,327,34.329820788530455,7.736376344086018
8,2018,766,684,327,178,396.3333333333333,260.027562641604,1189.0,1,-0.8660254037844385,-0.5000000000000004,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,18.31397849462365,59.784946236559136,25.40215053763441,32.70967741935484,4.54268817204301,25.40215053763441,0.13475917065390747,684,51.594838709677404,10.435784946236556
9,2018,52,766,684,327,592.3333333333334,233.41450968895057,1777.0,0,-1.0,-1.8369701987210297e-16,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,18.276344086021503,58.13978494623656,25.41505376344086,31.81720430107527,4.026236559139785,0.0,0.0,0,67.43921146953404,12.754139784946233
