Jurisdiction,Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollStd_3,RollSum_3,is_summer,Month_sin,Month_cos,temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,relative_humidity_2m_min (%)_lag1,et0_fao_evapotranspiration (mm)_lag1,temperature_2m_max (°C)_lag1
British Columbia,10,2002,86,108,596,410,371.3333333333333,246.2870953447081,1114.0,0,-0.8660254037844386,0.5000000000000001,16.627956989247313,57.903225806451616,31.623655913978496,3.715913978494624,22.990322580645163
British Columbia,11,2002,32,86,108,596,263.3333333333333,288.30770599020303,790.0,0,-0.5000000000000004,0.8660254037844384,11.395555555555555,67.96666666666667,39.333333333333336,2.206555555555556,16.894444444444442
British Columbia,12,2002,6,32,86,108,75.33333333333333,39.10669166950031,226.0,0,-2.4492935982947064e-16,1.0,4.876344086021505,75.55913978494624,50.9247311827957,1.1572043010752688,9.611827956989249
British Columbia,1,2003,5,6,32,86,41.333333333333336,40.80849584747481,124.0,0,0.49999999999999994,0.8660254037844387,0.7355555555555555,84.13333333333334,68.45555555555555,0.4627777777777778,4.3
British Columbia,2,2003,3,5,6,32,14.333333333333334,15.307950004274637,43.0,0,0.8660254037844386,0.5000000000000001,-2.93978494623656,83.1505376344086,71.12903225806451,0.2826881720430108,-0.2075268817204301
British Columbia,3,2003,19,3,5,6,4.666666666666667,1.5275252316649182,14.0,0,1.0,6.123233995736766e-17,-5.141935483870968,80.55913978494624,68.41935483870968,0.3602150537634408,-1.4086021505376345
British Columbia,4,2003,99,19,3,5,9.0,8.717797887083591,27.0,0,0.8660254037844387,-0.4999999999999998,-5.107142857142857,78.19047619047619,59.523809523809526,0.6307142857142857,-0.4607142857142857
British Columbia,5,2003,144,99,19,3,40.333333333333336,51.432804058629436,121.0,0,0.49999999999999994,-0.8660254037844387,-2.833333333333333,72.47311827956989,49.473118279569896,1.2165591397849462,2.4204301075268817
British Columbia,6,2003,272,144,99,19,87.33333333333333,63.311399710742165,262.0,1,1.2246467991473532e-16,-1.0,4.448888888888889,70.04444444444445,44.11111111111111,2.1734444444444443,10.16111111111111
British Columbia,7,2003,562,272,144,99,171.66666666666666,89.75707957221732,515.0,1,-0.4999999999999997,-0.8660254037844388,9.361290322580643,59.62365591397849,34.27956989247312,3.301290322580645,15.395698924731182
British Columbia,8,2003,1132,562,272,144,326.0,214.16815823086307,978.0,1,-0.8660254037844385,-0.5000000000000004,15.47888888888889,55.266666666666666,31.45555555555556,4.3806666666666665,21.614444444444448
British Columbia,9,2003,198,1132,562,272,655.3333333333334,437.53095128611557,1966.0,0,-1.0,-1.8369701987210297e-16,18.3483870967742,56.0,30.93548387096774,4.685698924731183,24.9
British Columbia,10,2003,40,198,1132,562,630.6666666666666,470.77099882356094,1892.0,0,-0.8660254037844386,0.5000000000000001,17.883870967741935,56.0,29.53763440860215,4.007634408602151,24.335483870967742
British Columbia,11,2003,16,40,198,1132,456.6666666666667,590.1672079447766,1370.0,0,-0.5000000000000004,0.8660254037844384,12.547777777777778,63.88888888888889,36.45555555555556,2.494111111111111,18.47888888888889
British Columbia,5,2004,132,178,43,2,74.33333333333333,92.08872533233009,223.0,0,0.49999999999999994,-0.8660254037844387,7.276344086021505,75.17204301075269,50.84946236559139,1.254731182795699,12.344086021505374
British Columbia,6,2004,637,132,178,43,117.66666666666667,68.63186820518098,353.0,1,1.2246467991473532e-16,-1.0,6.635555555555555,58.78888888888889,34.41111111111111,2.773333333333333,13.572222222222225
