Jurisdiction,Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollStd_3,RollSum_3,is_summer,Month_sin,Month_cos,temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,relative_humidity_2m_min (%)_lag1,et0_fao_evapotranspiration (mm)_lag1,temperature_2m_max (°C)_lag1
Alberta,2,2000,8,9,28,29,22.0,11.269427669585244,66.0,0,0.8660254037844386,0.5000000000000001,-5.816129032258065,71.54838709677419,59.774193548387096,0.5031182795698924,-1.2021505376344086
Alberta,3,2000,30,8,9,28,15.0,11.269427669585237,45.0,0,1.0,6.123233995736766e-17,-14.572043010752688,72.94623655913979,60.02150537634409,0.3008602150537634,-9.352688172043012
Alberta,4,2000,139,30,8,9,15.666666666666666,12.423096769056686,47.0,0,0.8660254037844387,-0.4999999999999998,-8.575862068965519,74.59770114942529,54.82758620689656,0.6109195402298851,-1.3977011494252871
Alberta,5,2000,112,139,30,8,59.0,70.14983962918242,177.0,0,0.49999999999999994,-0.8660254037844387,-3.0688172043010757,69.10752688172043,45.72043010752688,1.3086021505376342,3.135483870967742
Alberta,6,2000,261,112,139,30,93.66666666666667,56.76559991168373,281.0,1,1.2246467991473532e-16,-1.0,2.755555555555555,55.34444444444444,30.744444444444447,2.537888888888889,9.49222222222222
Alberta,7,2000,197,261,112,139,170.66666666666666,79.38723658960141,512.0,1,-0.4999999999999997,-0.8660254037844388,7.878494623655914,65.55913978494624,38.87096774193548,2.964731182795699,13.610752688172044
Alberta,8,2000,74,197,261,112,190.0,74.74623736349554,570.0,1,-0.8660254037844385,-0.5000000000000004,12.738888888888887,69.53333333333333,44.12222222222223,3.5044444444444447,18.11777777777778
Alberta,9,2000,12,74,197,261,177.33333333333334,95.03858865394282,532.0,0,-1.0,-1.8369701987210297e-16,16.90215053763441,75.66666666666666,49.26881720430107,3.694086021505376,22.346236559139783
Alberta,10,2000,16,12,74,197,94.33333333333333,94.161209281388,283.0,0,-0.8660254037844386,0.5000000000000001,14.617204301075269,72.91397849462366,47.94623655913978,2.970430107526881,20.07204301075269
Alberta,11,2000,5,16,12,74,34.0,34.6987031457952,102.0,0,-0.5000000000000004,0.8660254037844384,9.617777777777778,71.85555555555555,48.78888888888889,1.998,15.358888888888888
Alberta,12,2000,1,5,16,12,11.0,5.567764362831641,33.0,0,-2.4492935982947064e-16,1.0,3.9634408602150537,70.51612903225806,50.82795698924731,1.247741935483871,9.035483870967743
Alberta,1,2001,4,1,5,16,7.333333333333333,7.767453465155195,22.0,0,0.49999999999999994,0.8660254037844387,-3.8655555555555554,73.86666666666666,59.41111111111111,0.4947777777777778,0.2444444444444444
Alberta,2,2001,2,4,1,5,3.3333333333333335,2.0816659994705033,10.0,0,0.8660254037844386,0.5000000000000001,-15.888172043010751,76.33333333333334,65.46236559139784,0.1804301075268817,-10.790322580645162
Alberta,3,2001,28,2,4,1,2.3333333333333335,1.5275252316579104,7.0,0,1.0,6.123233995736766e-17,-5.237634408602151,77.64516129032258,63.053763440860216,0.420752688172043,-0.1935483870967742
Alberta,4,2001,79,28,2,4,11.333333333333334,14.468356276141092,34.0,0,0.8660254037844387,-0.4999999999999998,-13.196428571428571,72.82142857142857,55.51190476190476,0.4963095238095238,-6.6309523809523805
Alberta,5,2001,292,79,28,2,36.333333333333336,39.17056718166525,109.0,0,0.49999999999999994,-0.8660254037844387,-3.403225806451613,62.70967741935484,39.903225806451616,1.3882795698924733,3.08494623655914
Alberta,6,2001,184,292,79,28,133.0,140.03928020380573,399.0,1,1.2246467991473532e-16,-1.0,3.2822222222222224,59.53333333333333,34.75555555555556,2.507111111111111,9.594444444444443
Alberta,7,2001,201,184,292,79,185.0,106.50352106855443,555.0,1,-0.4999999999999997,-0.8660254037844388,10.519354838709678,55.37634408602151,30.913978494623656,3.779247311827957,17.080645161290324
Alberta,8,2001,91,201,184,292,225.66666666666666,58.07179464536421,677.0,1,-0.8660254037844385,-0.5000000000000004,13.648888888888887,68.71111111111112,43.8,3.6636666666666655,18.81111111111111
Alberta,9,2001,55,91,201,184,158.66666666666666,59.21430007467242,476.0,0,-1.0,-1.8369701987210297e-16,16.876344086021504,72.56989247311827,47.17204301075269,3.80989247311828,22.372043010752687
Alberta,10,2001,56,55,91,201,115.66666666666667,76.06137872358974,347.0,0,-0.8660254037844386,0.5000000000000001,17.45483870967742,66.33333333333334,40.84946236559139,3.830860215053763,23.596774193548388
