time,temperature_2m_mean (°C),temperature_2m_max (°C),relative_humidity_2m_mean (%),relative_humidity_2m_min (%),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_mean (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm)
2005-04-01,6.87,13.356666666666666,56.58888888888889,29.933333333333334,1.051111111111111,2.5777777777777775,8.491111111111111,14.071111111111112,163.92222222222225,2.8982222222222225
2005-05-01,12.680645161290323,19.198924731182796,57.56989247311828,31.172043010752688,1.3150537634408601,2.795698924731183,6.918279569892473,11.03225806451613,171.2043010752688,3.864301075268817
2005-06-01,14.068888888888889,19.81222222222222,68.48888888888888,40.3,2.841111111111111,5.611111111111112,5.857777777777778,9.82,195.65555555555557,3.579222222222222
2005-07-01,16.411827956989246,22.312903225806455,63.31182795698925,37.58064516129032,1.9763440860215054,3.5698924731182795,7.564516129032258,12.666666666666668,226.95698924731184,4.182688172043011
2005-08-01,16.88817204301075,23.225806451612904,58.95698924731183,32.365591397849464,0.9591397849462366,1.8924731182795698,7.370967741935484,11.995698924731183,237.46236559139783,3.861505376344086
2005-09-01,11.047777777777778,16.167777777777776,69.11111111111111,42.05555555555556,1.3633333333333333,3.033333333333333,7.485555555555555,11.96,234.27777777777777,2.2328888888888887
2005-10-01,5.986021505376344,10.478494623655914,77.88172043010753,53.913978494623656,1.9010752688172043,4.440860215053763,8.419354838709678,12.655913978494622,162.90322580645162,1.0853763440860216
2005-11-01,-0.3022222222222222,2.951111111111111,78.08888888888889,62.455555555555556,1.501111111111111,3.811111111111111,8.737777777777778,12.658888888888889,167.9,0.5292222222222223
2005-12-01,-4.7397849462365595,-1.596774193548387,82.10752688172043,71.33333333333334,0.8903225806451613,2.7849462365591395,8.013978494623656,11.043010752688172,169.5698924731183,0.2618279569892473
2006-01-01,-4.267741935483872,-0.2376344086021505,83.97849462365592,72.63440860215053,1.7516129032258065,4.763440860215053,8.265591397849462,12.066666666666666,159.7956989247312,0.3373118279569893
2006-02-01,-5.598809523809523,-0.032142857142857126,72.33333333333333,51.91666666666667,1.2714285714285716,3.5714285714285716,8.128571428571428,12.176190476190476,203.28571428571428,0.6671428571428571
2006-03-01,-2.801075268817204,2.6903225806451614,72.01075268817205,50.354838709677416,0.7602150537634409,2.6559139784946235,7.565591397849462,11.782795698924732,175.95698924731184,1.2331182795698925
2006-04-01,6.166666666666667,12.58222222222222,60.2,35.21111111111111,0.77,2.611111111111111,8.017777777777777,13.092222222222222,197.54444444444442,2.6495555555555557
2006-05-01,11.498924731182795,18.247311827956988,56.70967741935484,29.93548387096774,1.60752688172043,3.268817204301075,7.253763440860215,12.24731182795699,214.31182795698925,3.686451612903226
2006-06-01,16.37333333333333,22.53666666666667,54.455555555555556,30.688888888888886,1.031111111111111,2.3666666666666667,7.28,11.882222222222222,204.38888888888889,4.593999999999999
2006-07-01,19.431182795698923,26.03978494623656,54.67741935483871,28.311827956989244,1.4161290322580644,2.4516129032258065,6.76989247311828,11.663440860215054,219.18279569892474,4.6729032258064525
2006-08-01,17.36989247311828,23.933333333333334,52.97849462365591,26.946236559139788,0.4236559139784946,1.0430107526881722,6.723655913978495,11.344086021505378,243.39784946236557,4.040860215053764
2006-09-01,14.085555555555555,20.33888888888889,62.38888888888889,35.91111111111111,1.1911111111111112,2.7555555555555555,7.5311111111111115,11.896666666666667,206.83333333333334,2.677333333333333
2006-10-01,5.303225806451613,10.303225806451612,72.94623655913979,48.58064516129032,1.4817204301075269,3.032258064516129,7.412903225806452,11.66236559139785,211.65591397849462,1.2159139784946238
2006-11-01,-6.702222222222222,-3.054444444444444,78.65555555555555,65.5,3.143333333333333,7.455555555555555,8.55,12.422222222222222,171.5,0.3722222222222222
2006-12-01,-5.065591397849462,-1.5086021505376344,82.6774193548387,70.83870967741936,1.3666666666666667,3.6451612903225805,9.740860215053763,13.921505376344086,177.96774193548387,0.2936559139784946
