Year,Month,Jurisdiction,Number_fires
2020,5.0,British Columbia,66.0
2020,6.0,British Columbia,31.0
2020,7.0,British Columbia,115.0
2020,8.0,British Columbia,283.0
2020,9.0,British Columbia,62.0
2020,10.0,British Columbia,13.0
2020,11.0,British Columbia,2.0
2020,12.0,British Columbia,1.0
2020,,British Columbia,
2020,,British Columbia,
2021,1.0,British Columbia,2.0
2021,2.0,British Columbia,
2021,3.0,British Columbia,21.0
2021,4.0,British Columbia,145.0
2021,5.0,British Columbia,110.0
2021,6.0,British Columbia,255.0
2021,7.0,British Columbia,784.0
2021,8.0,British Columbia,263.0
2021,9.0,British Columbia,53.0
2021,10.0,British Columbia,24.0
2021,11.0,British Columbia,4.0
2021,12.0,British Columbia,2.0
2021,,British Columbia,
2021,,British Columbia,
2022,1.0,British Columbia,
2022,2.0,British Columbia,2.0
2022,3.0,British Columbia,14.0
2022,4.0,British Columbia,81.0
2022,5.0,British Columbia,57.0
2022,6.0,British Columbia,73.0
2022,7.0,British Columbia,279.0
2022,8.0,British Columbia,935.0
2022,9.0,British Columbia,192.0
2022,10.0,British Columbia,169.0
2022,11.0,British Columbia,15.0
2022,12.0,British Columbia,1.0
2022,,British Columbia,
2022,,British Columbia,
2023,1.0,British Columbia,
2023,2.0,British Columbia,
2023,3.0,British Columbia,
2023,4.0,British Columbia,
2023,5.0,British Columbia,
2023,6.0,British Columbia,
2023,7.0,British Columbia,
2023,8.0,British Columbia,
2023,9.0,British Columbia,
2023,10.0,British Columbia,
2023,11.0,British Columbia,
2023,12.0,British Columbia,
2023,,British Columbia,
2023,,British Columbia,2269.0
