latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.151142,-62.914032,0.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),precipitation_sum (mm),precipitation_hours (h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),relative_humidity_2m_min (%)
1990-06-09,14.9,20.0,0.00,0.0,210,3.75,15.1,10.5,71,51
1990-06-10,13.2,16.6,0.00,0.0,53,3.16,24.2,15.4,83,69
1990-06-11,10.6,12.8,0.00,0.0,70,2.96,22.4,19.1,80,67
1990-06-12,10.9,14.2,0.00,0.0,31,4.09,21.1,16.4,71,56
1990-06-13,14.7,22.6,0.00,0.0,199,5.23,16.9,12.6,62,36
1990-06-14,15.5,22.4,0.00,0.0,175,4.08,20.2,13.5,71,56
1990-06-15,18.1,22.8,0.00,0.0,217,3.98,25.2,21.3,81,57
1990-06-16,19.1,23.1,0.00,0.0,219,3.62,20.4,16.4,84,64
1990-06-17,18.8,22.8,0.00,0.0,216,4.27,18.4,14.3,85,64
1990-06-18,18.8,23.6,0.00,0.0,220,4.43,34.2,27.0,76,53
1990-06-19,19.4,23.4,0.20,1.0,219,3.88,30.1,24.5,77,63
1990-06-20,16.2,19.8,1.70,4.0,16,1.46,13.2,10.3,92,83
1990-06-21,12.6,13.8,0.00,0.0,16,1.47,14.2,11.7,93,88
1990-06-22,12.3,13.0,5.80,12.0,346,0.89,10.7,6.4,92,89
1990-06-23,13.4,16.1,0.00,0.0,151,2.21,19.7,11.5,87,75
1990-06-24,13.0,16.2,5.70,8.0,136,1.54,32.1,26.1,89,81
1990-06-25,17.6,20.7,10.20,5.0,230,3.64,24.0,17.5,87,71
1990-06-26,18.6,22.9,0.00,0.0,232,4.92,21.7,20.1,77,60
1990-06-27,19.7,24.2,0.00,0.0,221,5.41,26.8,23.1,71,54
1990-06-28,18.0,20.6,6.10,10.0,238,3.49,28.5,18.4,81,72
1990-06-29,16.5,19.4,0.40,1.0,281,4.25,19.2,11.7,76,56
1990-06-30,17.1,20.5,0.00,0.0,238,5.13,16.2,11.2,72,59
1990-07-01,14.9,17.3,0.00,0.0,46,3.27,12.6,9.9,84,68
1990-07-02,15.4,18.8,0.00,0.0,37,4.58,11.7,8.0,73,54
1990-07-03,15.3,18.3,0.00,0.0,123,3.40,13.9,6.8,74,62
1990-07-04,17.1,19.6,7.00,7.0,248,2.16,26.0,16.5,84,76
1990-07-05,17.1,18.6,0.20,1.0,292,3.93,24.0,18.3,77,54
1990-07-06,15.6,17.1,0.00,0.0,305,4.79,20.0,16.1,65,54
