Year,Month,Jurisdiction,Number_fires
1992,10,Newfoundland and Labrador,0
1992,10,Northwest Territories,0
1992,10,Nova Scotia,13
1992,10,Ontario,11
1992,10,Prince Edward Island,1
1992,10,Quebec,7
1992,10,Saskatchewan,7
1992,10,Yukon,0
1992,11,Alberta,15
1992,11,British Columbia,4
1992,11,Manitoba,0
1992,11,New Brunswick,0
1992,11,Newfoundland and Labrador,0
1992,11,Northwest Territories,0
1992,11,Nova Scotia,0
1992,11,Ontario,0
1992,11,Prince Edward Island,0
1992,11,Quebec,2
1992,11,Saskatchewan,2
1992,11,Yukon,0
1992,12,Alberta,4
1992,12,British Columbia,1
1992,12,Manitoba,0
1992,12,New Brunswick,0
1992,12,Newfoundland and Labrador,0
1992,12,Northwest Territories,0
1992,12,Nova Scotia,0
1992,12,Ontario,0
1992,12,Prince Edward Island,0
1992,12,Quebec,0
1992,12,Saskatchewan,0
1992,12,Yukon,0
1993,1,Alberta,8
1993,1,British Columbia,3
1993,1,Manitoba,0
1993,1,New Brunswick,0
1993,1,Newfoundland and Labrador,0
1993,1,Northwest Territories,0
1993,1,Nova Scotia,0
1993,1,Ontario,0
1993,1,Prince Edward Island,0
1993,1,Quebec,0
1993,1,Saskatchewan,2
1993,1,Yukon,0
1993,2,Alberta,12
1993,2,British Columbia,16
1993,2,Manitoba,0
1993,2,New Brunswick,0
1993,2,Newfoundland and Labrador,0
1993,2,Northwest Territories,0
1993,2,Nova Scotia,0
1993,2,Ontario,0
1993,2,Prince Edward Island,0
1993,2,Quebec,0
1993,2,Saskatchewan,1
1993,2,Yukon,0
1993,3,Alberta,29
1993,3,British Columbia,34
1993,3,Manitoba,2
1993,3,New Brunswick,0
1993,3,Newfoundland and Labrador,0
1993,3,Northwest Territories,0
1993,3,Nova Scotia,0
1993,3,Ontario,1
1993,3,Prince Edward Island,0
1993,3,Quebec,0
1993,3,Saskatchewan,21
1993,3,Yukon,0
1993,4,Alberta,52
1993,4,British Columbia,77
1993,4,Manitoba,39
1993,4,New Brunswick,60
1993,4,Newfoundland and Labrador,1
1993,4,Northwest Territories,0
1993,4,Nova Scotia,78
1993,4,Ontario,112
1993,4,Prince Edward Island,0
1993,4,Quebec,32
1993,4,Saskatchewan,47
1993,4,Yukon,1
1993,5,Alberta,242
1993,5,British Columbia,322
1993,5,Manitoba,67
1993,5,New Brunswick,195
1993,5,Newfoundland and Labrador,13
1993,5,Northwest Territories,13
1993,5,Nova Scotia,110
1993,5,Ontario,171
1993,5,Prince Edward Island,26
1993,5,Quebec,188
1993,5,Saskatchewan,219
1993,5,Yukon,21
1993,6,Alberta,342
1993,6,British Columbia,189
1993,6,Manitoba,97
1993,6,New Brunswick,40
1993,6,Newfoundland and Labrador,24
1993,6,Northwest Territories,175
1993,6,Nova Scotia,20
1993,6,Ontario,129
1993,6,Prince Edward Island,2
1993,6,Quebec,98
1993,6,Saskatchewan,216
1993,6,Yukon,45
1993,7,Alberta,112
1993,7,British Columbia,153
1993,7,Manitoba,24
1993,7,New Brunswick,32
1993,7,Newfoundland and Labrador,5
1993,7,Northwest Territories,249
1993,7,Nova Scotia,21
1993,7,Ontario,158
1993,7,Prince Edward Island,0
1993,7,Quebec,129
1993,7,Saskatchewan,82
1993,7,Yukon,48
1993,8,Alberta,35
1993,8,British Columbia,274
1993,8,Manitoba,6
1993,8,New Brunswick,72
1993,8,Newfoundland and Labrador,13
1993,8,Northwest Territories,30
1993,8,Nova Scotia,43
1993,8,Ontario,144
1993,8,Prince Edward Island,0
1993,8,Quebec,81
1993,8,Saskatchewan,30
1993,8,Yukon,10
1993,9,Alberta,17
1993,9,British Columbia,300
1993,9,Manitoba,3
1993,9,New Brunswick,28
1993,9,Newfoundland and Labrador,5
1993,9,Northwest Territories,4
1993,9,Nova Scotia,26
1993,9,Ontario,11
1993,9,Prince Edward Island,1
1993,9,Quebec,10
1993,9,Saskatchewan,22
1993,9,Yukon,10
1993,10,Alberta,19
1993,10,British Columbia,119
1993,10,Manitoba,1
1993,10,New Brunswick,3
1993,10,Newfoundland and Labrador,4
1993,10,Northwest Territories,0
1993,10,Nova Scotia,4
1993,10,Ontario,10
1993,10,Prince Edward Island,0
