Year,Month,Jurisdiction,Number_fires
1990,8.0,British Columbia,1563
1990,9.0,British Columbia,336
1990,10.0,British Columbia,60
1990,11.0,British Columbia,6
1990,12.0,British Columbia,0
1991,1.0,British Columbia,2
1991,2.0,British Columbia,5
1991,3.0,British Columbia,25
1991,4.0,British Columbia,204
1991,5.0,British Columbia,193
1991,6.0,British Columbia,291
1991,7.0,British Columbia,296
1991,8.0,British Columbia,573
1991,9.0,British Columbia,172
1991,10.0,British Columbia,248
1991,11.0,British Columbia,5
1991,12.0,British Columbia,0
1992,1.0,British Columbia,6
1992,2.0,British Columbia,2
1992,3.0,British Columbia,70
1992,4.0,British Columbia,155
1992,5.0,British Columbia,243
1992,6.0,British Columbia,705
1992,7.0,British Columbia,493
1992,8.0,British Columbia,1803
1992,9.0,British Columbia,197
1992,10.0,British Columbia,126
1992,11.0,British Columbia,4
1992,12.0,British Columbia,1
1993,1.0,British Columbia,3
1993,2.0,British Columbia,16
1993,3.0,British Columbia,34
1993,4.0,British Columbia,77
1993,5.0,British Columbia,322
1993,6.0,British Columbia,189
1993,7.0,British Columbia,153
1993,8.0,British Columbia,274
1993,9.0,British Columbia,300
1993,10.0,British Columbia,119
1993,11.0,British Columbia,10
1993,12.0,British Columbia,0
1994,1.0,British Columbia,6
1994,2.0,British Columbia,2
1994,3.0,British Columbia,66
1994,4.0,British Columbia,142
1994,5.0,British Columbia,212
1994,6.0,British Columbia,172
1994,7.0,British Columbia,1030
1994,8.0,British Columbia,2118
1994,9.0,British Columbia,238
1994,10.0,British Columbia,70
1994,11.0,British Columbia,1
1994,12.0,British Columbia,0
1995,1.0,British Columbia,5
1995,2.0,British Columbia,5
1995,3.0,British Columbia,61
1995,4.0,British Columbia,181
1995,5.0,British Columbia,316
1995,6.0,British Columbia,281
1995,7.0,British Columbia,277
1995,8.0,British Columbia,90
1995,9.0,British Columbia,238
1995,10.0,British Columbia,15
1995,11.0,British Columbia,5
1995,12.0,British Columbia,0
1996,1.0,British Columbia,5
1996,2.0,British Columbia,3
1996,3.0,British Columbia,31
1996,4.0,British Columbia,60
1996,5.0,British Columbia,82
1996,6.0,British Columbia,155
1996,7.0,British Columbia,452
1996,8.0,British Columbia,489
1996,9.0,British Columbia,64
1996,10.0,British Columbia,16
1996,11.0,British Columbia,1
1996,12.0,British Columbia,2
1997,1.0,British Columbia,0
1997,2.0,British Columbia,2
1997,3.0,British Columbia,6
1997,4.0,British Columbia,86
1997,5.0,British Columbia,131
1997,6.0,British Columbia,95
1997,7.0,British Columbia,172
1997,8.0,British Columbia,514
1997,9.0,British Columbia,162
1997,10.0,British Columbia,3
1997,11.0,British Columbia,3
1997,12.0,British Columbia,2
1998,1.0,British Columbia,3
1998,2.0,British Columbia,3
1998,3.0,British Columbia,24
1998,4.0,British Columbia,148
1998,5.0,British Columbia,259
1998,6.0,British Columbia,143
1998,7.0,British Columbia,674
1998,8.0,British Columbia,870
1998,9.0,British Columbia,473
1998,10.0,British Columbia,44
1998,11.0,British Columbia,4
1998,12.0,British Columbia,0
1999,1.0,British Columbia,0
1999,2.0,British Columbia,2
1999,3.0,British Columbia,8
1999,4.0,British Columbia,92
1999,5.0,British Columbia,83
1999,6.0,British Columbia,118
1999,7.0,British Columbia,168
1999,8.0,British Columbia,522
1999,9.0,British Columbia,109
1999,10.0,British Columbia,82
1999,11.0,British Columbia,6
1999,12.0,British Columbia,8
2000,1.0,British Columbia,0
2000,2.0,British Columbia,3
2000,3.0,British Columbia,17
2000,4.0,British Columbia,157
2000,5.0,British Columbia,82
2000,6.0,British Columbia,129
2000,7.0,British Columbia,399
2000,8.0,British Columbia,618
2000,9.0,British Columbia,86
2000,10.0,British Columbia,51
2000,11.0,British Columbia,8
2000,12.0,British Columbia,1
2001,1.0,British Columbia,6
2001,2.0,British Columbia,1
2001,3.0,British Columbia,30
2001,4.0,British Columbia,130
2001,5.0,British Columbia,257
2001,6.0,British Columbia,98
2001,7.0,British Columbia,329
2001,8.0,British Columbia,262
2001,9.0,British Columbia,135
2001,10.0,British Columbia,59
2001,11.0,British Columbia,13
2001,12.0,British Columbia,0
2002,1.0,British Columbia,3
2002,2.0,British Columbia,3
2002,3.0,British Columbia,5
2002,4.0,British Columbia,140
2002,5.0,British Columbia,161
2002,6.0,British Columbia,245
2002,7.0,British Columbia,410
2002,8.0,British Columbia,596
2002,9.0,British Columbia,108
2002,10.0,British Columbia,86
2002,11.0,British Columbia,32
2002,12.0,British Columbia,6
2003,1.0,British Columbia,5
2003,2.0,British Columbia,3
2003,3.0,British Columbia,19
2003,4.0,British Columbia,99
2003,5.0,British Columbia,144
2003,6.0,British Columbia,272
2003,7.0,British Columbia,562
2003,8.0,British Columbia,1132
2003,9.0,British Columbia,198
2003,10.0,British Columbia,40
2003,11.0,British Columbia,16
2003,12.0,British Columbia,0
2004,1.0,British Columbia,0
2004,2.0,British Columbia,2
2004,3.0,British Columbia,43
2004,4.0,British Columbia,178
2004,5.0,British Columbia,132
2004,6.0,British Columbia,637
2004,7.0,British Columbia,630
2004,8.0,British Columbia,719
2004,9.0,British Columbia,38
2004,10.0,British Columbia,36
2004,11.0,British Columbia,2
2004,12.0,British Columbia,1
2005,1.0,British Columbia,2
2005,2.0,British Columbia,9
2005,3.0,British Columbia,15
2005,4.0,British Columbia,116
2005,5.0,British Columbia,275
2005,6.0,British Columbia,90
2005,7.0,British Columbia,146
2005,8.0,British Columbia,254
2005,9.0,British Columbia,84
2005,10.0,British Columbia,8
2005,11.0,British Columbia,7
2005,12.0,British Columbia,0
2006,1.0,British Columbia,3
2006,2.0,British Columbia,3
2006,3.0,British Columbia,9
2006,4.0,British Columbia,176
2006,5.0,British Columbia,203
2006,6.0,British Columbia,233
2006,7.0,British Columbia,1086
2006,8.0,British Columbia,507
2006,9.0,British Columbia,285
2006,10.0,British Columbia,80
2006,11.0,British Columbia,2
2006,12.0,British Columbia,0
2007,1.0,British Columbia,2
2007,2.0,British Columbia,2
2007,3.0,British Columbia,17
2007,4.0,British Columbia,76
2007,5.0,British Columbia,159
2007,6.0,British Columbia,109
2007,7.0,British Columbia,624
2007,8.0,British Columbia,518
2007,9.0,British Columbia,111
2007,10.0,British Columbia,18
2007,11.0,British Columbia,4
2007,12.0,British Columbia,1
2008,1.0,British Columbia,1
2008,2.0,British Columbia,2
2008,3.0,British Columbia,13
2008,4.0,British Columbia,117
2008,5.0,British Columbia,161
2008,6.0,British Columbia,170
2008,7.0,British Columbia,596
2008,8.0,British Columbia,780
2008,9.0,British Columbia,122
2008,10.0,British Columbia,66
2008,11.0,British Columbia,7
2008,12.0,British Columbia,3
2009,1.0,British Columbia,8
2009,2.0,British Columbia,7
2009,3.0,British Columbia,19
2009,4.0,British Columbia,165
2009,5.0,British Columbia,197
2009,6.0,British Columbia,459
2009,7.0,British Columbia,1191
2009,8.0,British Columbia,632
2009,9.0,British Columbia,337
2009,10.0,British Columbia,49
2009,11.0,British Columbia,5
2009,12.0,British Columbia,2
2010,1.0,British Columbia,2
2010,2.0,British Columbia,2
2010,3.0,British Columbia,30
2010,4.0,British Columbia,135
2010,5.0,British Columbia,91
2010,6.0,British Columbia,132
2010,7.0,British Columbia,826
2010,8.0,British Columbia,392
2010,9.0,British Columbia,52
2010,10.0,British Columbia,54
2010,11.0,British Columbia,11
2010,12.0,British Columbia,4
2011,1.0,British Columbia,2
2011,2.0,British Columbia,2
2011,3.0,British Columbia,9
2011,4.0,British Columbia,48
2011,5.0,British Columbia,67
2011,6.0,British Columbia,68
2011,7.0,British Columbia,115
2011,8.0,British Columbia,223
2011,9.0,British Columbia,107
2011,10.0,British Columbia,37
2011,11.0,British Columbia,6
2011,12.0,British Columbia,0
2012,1.0,British Columbia,2
2012,2.0,British Columbia,2
2012,3.0,British Columbia,6
2012,4.0,British Columbia,74
2012,5.0,British Columbia,168
2012,6.0,British Columbia,57
2012,7.0,British Columbia,417
2012,8.0,British Columbia,642
2012,9.0,British Columbia,205
2012,10.0,British Columbia,83
2012,11.0,British Columbia,2
2012,12.0,British Columbia,1
2013,1.0,British Columbia,1
2013,2.0,British Columbia,0
2013,3.0,British Columbia,21
2013,4.0,British Columbia,85
2013,5.0,British Columbia,128
2013,6.0,British Columbia,101
2013,7.0,British Columbia,367
2013,8.0,British Columbia,999
2013,9.0,British Columbia,131
2013,10.0,British Columbia,43
2013,11.0,British Columbia,1
2013,12.0,British Columbia,2
2014,1.0,British Columbia,1
2014,2.0,British Columbia,4
2014,3.0,British Columbia,10
2014,4.0,British Columbia,107
2014,5.0,British Columbia,105
2014,6.0,British Columbia,132
2014,7.0,British Columbia,485
2014,8.0,British Columbia,502
2014,9.0,British Columbia,90
2014,10.0,British Columbia,40
2014,11.0,British Columbia,0
2014,12.0,British Columbia,2
2015,1.0,British Columbia,0
2015,2.0,British Columbia,2
2015,3.0,British Columbia,31
2015,4.0,British Columbia,82
2015,5.0,British Columbia,309
2015,6.0,British Columbia,443
2015,7.0,British Columbia,538
2015,8.0,British Columbia,404
2015,9.0,British Columbia,31
2015,10.0,British Columbia,27
2015,11.0,British Columbia,3
2015,12.0,British Columbia,1
2016,1.0,British Columbia,3
2016,2.0,British Columbia,7
2016,3.0,British Columbia,27
2016,4.0,British Columbia,158
2016,5.0,British Columbia,127
2016,6.0,British Columbia,164
2016,7.0,British Columbia,206
2016,8.0,British Columbia,325
2016,9.0,British Columbia,43
2016,10.0,British Columbia,12
2016,11.0,British Columbia,3
2016,12.0,British Columbia,0
2017,1.0,British Columbia,1
2017,2.0,British Columbia,2
2017,3.0,British Columbia,10
2017,4.0,British Columbia,40
2017,5.0,British Columbia,91
2017,6.0,British Columbia,145
2017,7.0,British Columbia,622
2017,8.0,British Columbia,306
2017,9.0,British Columbia,115
2017,10.0,British Columbia,64
2017,11.0,British Columbia,4
2017,12.0,British Columbia,0
2018,1.0,British Columbia,1
2018,2.0,British Columbia,0
2018,3.0,British Columbia,14
2018,4.0,British Columbia,51
2018,5.0,British Columbia,178
2018,6.0,British Columbia,327
2018,7.0,British Columbia,684
2018,8.0,British Columbia,766
2018,9.0,British Columbia,52
2018,10.0,British Columbia,45
2018,11.0,British Columbia,2
2018,12.0,British Columbia,2
2019,1.0,British Columbia,0
2019,2.0,British Columbia,1
2019,3.0,British Columbia,27
2019,4.0,British Columbia,87
2019,5.0,British Columbia,135
2019,6.0,British Columbia,194
2019,7.0,British Columbia,155
2019,8.0,British Columbia,126
2019,9.0,British Columbia,95
2019,10.0,British Columbia,16
2019,11.0,British Columbia,7
2019,12.0,British Columbia,0
2020,1.0,British Columbia,0
2020,2.0,British Columbia,0
2020,3.0,British Columbia,19
2020,4.0,British Columbia,92
2020,5.0,British Columbia,66
2020,6.0,British Columbia,31
2020,7.0,British Columbia,115
2020,8.0,British Columbia,283
2020,9.0,British Columbia,62
2020,10.0,British Columbia,13
2020,11.0,British Columbia,2
2020,12.0,British Columbia,1
2021,1.0,British Columbia,2
2021,2.0,British Columbia,0
2021,3.0,British Columbia,21
2021,4.0,British Columbia,145
2021,5.0,British Columbia,110
2021,6.0,British Columbia,255
2021,7.0,British Columbia,784
2021,8.0,British Columbia,263
2021,9.0,British Columbia,53
2021,10.0,British Columbia,24
2021,11.0,British Columbia,4
2021,12.0,British Columbia,2
2022,1.0,British Columbia,0
2022,2.0,British Columbia,2
2022,3.0,British Columbia,14
2022,4.0,British Columbia,81
2022,5.0,British Columbia,57
2022,6.0,British Columbia,73
2022,7.0,British Columbia,279
2022,8.0,British Columbia,935
2022,9.0,British Columbia,192
2022,10.0,British Columbia,169
2022,11.0,British Columbia,15
2022,12.0,British Columbia,1
1990,1.0,Manitoba,0
1990,2.0,Manitoba,0
1990,3.0,Manitoba,0
1990,4.0,Manitoba,39
1990,5.0,Manitoba,71
1990,6.0,Manitoba,85
1990,7.0,Manitoba,90
1990,8.0,Manitoba,176
1990,9.0,Manitoba,51
1990,10.0,Manitoba,36
1990,11.0,Manitoba,13
1990,12.0,Manitoba,1
1991,1.0,Manitoba,5
1991,2.0,Manitoba,3
1991,3.0,Manitoba,12
1991,4.0,Manitoba,109
1991,5.0,Manitoba,75
1991,6.0,Manitoba,77
1991,7.0,Manitoba,142
1991,8.0,Manitoba,222
1991,9.0,Manitoba,21
1991,10.0,Manitoba,6
1991,11.0,Manitoba,0
1991,12.0,Manitoba,0
1992,1.0,Manitoba,0
1992,2.0,Manitoba,1
1992,3.0,Manitoba,1
1992,4.0,Manitoba,7
1992,5.0,Manitoba,76
1992,6.0,Manitoba,45
1992,7.0,Manitoba,57
1992,8.0,Manitoba,102
1992,9.0,Manitoba,5
1992,10.0,Manitoba,4
1992,11.0,Manitoba,0
1992,12.0,Manitoba,0
1993,1.0,Manitoba,0
1993,2.0,Manitoba,0
1993,3.0,Manitoba,2
1993,4.0,Manitoba,39
1993,5.0,Manitoba,67
1993,6.0,Manitoba,97
1993,7.0,Manitoba,24
1993,8.0,Manitoba,6
1993,9.0,Manitoba,3
1993,10.0,Manitoba,1
1993,11.0,Manitoba,0
1993,12.0,Manitoba,0
1994,1.0,Manitoba,0
1994,2.0,Manitoba,0
1994,3.0,Manitoba,1
1994,4.0,Manitoba,49
